,Buurten,Year,Age,Gender,value
430,Kievitsloop,2014-01-01,65-74 jaar,Vrouw,109.0
431,Kesteren,2014-01-01,65-74 jaar,Vrouw,74.0
432,Muizenberg,2014-01-01,65-74 jaar,Vrouw,92.0
433,Heksenwiel,2014-01-01,65-74 jaar,Vrouw,185.0
434,Overkroeten,2014-01-01,65-74 jaar,Vrouw,102.0
435,Kroeten,2014-01-01,65-74 jaar,Vrouw,45.0
436,Emer,2014-01-01,65-74 jaar,Vrouw,4.0
437,Hagebeemd,2014-01-01,65-74 jaar,Vrouw,12.0
438,Bavel,2014-01-01,65-74 jaar,Vrouw,339.0
439,Nieuw Wolfslaar,2014-01-01,65-74 jaar,Vrouw,109.0
440,Buitengebied Bavel,2014-01-01,65-74 jaar,Vrouw,26.0
441,Ulvenhout,2014-01-01,65-74 jaar,Vrouw,354.0
442,Buitengebied Ulvenhout,2014-01-01,65-74 jaar,Vrouw,15.0
443,Prinsenbeek,2014-01-01,65-74 jaar,Vrouw,722.0
444,Buitengebied Prinsenbeek,2014-01-01,65-74 jaar,Vrouw,56.0
445,Teteringen,2014-01-01,65-74 jaar,Vrouw,451.0
446,Vuchtpolder,2014-01-01,65-74 jaar,Vrouw,3.0
447,Buitengebied Teteringen,2014-01-01,65-74 jaar,Vrouw,15.0
448,Valkenberg,2014-01-01,>= 75 jaar,Man,40.0
449,Chassé,2014-01-01,>= 75 jaar,Man,99.0
450,Fellenoord,2014-01-01,>= 75 jaar,Man,27.0
451,Schorsmolen,2014-01-01,>= 75 jaar,Man,94.0
452,Station,2014-01-01,>= 75 jaar,Man,15.0
453,City,2014-01-01,>= 75 jaar,Man,23.0
454,Belcrum,2014-01-01,>= 75 jaar,Man,62.0
455,Doornbos-Linie,2014-01-01,>= 75 jaar,Man,84.0
456,Biesdonk,2014-01-01,>= 75 jaar,Man,172.0
457,Geeren-zuid,2014-01-01,>= 75 jaar,Man,136.0
458,Wisselaar,2014-01-01,>= 75 jaar,Man,128.0
459,Krogten,2014-01-01,>= 75 jaar,Man,3.0
460,Geeren-noord,2014-01-01,>= 75 jaar,Man,107.0
461,Waterdonken,2014-01-01,>= 75 jaar,Man,2.0
462,Brabantpark,2014-01-01,>= 75 jaar,Man,281.0
463,Sportpark,2014-01-01,>= 75 jaar,Man,115.0
464,Zandberg,2014-01-01,>= 75 jaar,Man,79.0
465,Heusdenhout,2014-01-01,>= 75 jaar,Man,253.0
466,Moleneind-oost,2014-01-01,>= 75 jaar,Man,4.0
467,Hoogeind,2014-01-01,>= 75 jaar,Man,2.0
468,Blauwe Kei,2014-01-01,>= 75 jaar,Man,96.0
469,Ypelaar,2014-01-01,>= 75 jaar,Man,342.0
470,Overakker,2014-01-01,>= 75 jaar,Man,193.0
471,Ginneken,2014-01-01,>= 75 jaar,Man,160.0
472,Mastbos,2014-01-01,>= 75 jaar,Man,15.0
473,Boeimeer,2014-01-01,>= 75 jaar,Man,187.0
474,Ruitersbos,2014-01-01,>= 75 jaar,Man,193.0
475,Haagpoort,2014-01-01,>= 75 jaar,Man,32.0
476,Heuvel,2014-01-01,>= 75 jaar,Man,176.0
477,Tuinzigt,2014-01-01,>= 75 jaar,Man,122.0
478,Princenhage,2014-01-01,>= 75 jaar,Man,239.0
